timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1650011318665,276,deleting item/view-164,200,OK,Purchase 4-1,text,true,,809,449,1,1,https://api.demoblaze.com/view,276,0,0
1650011318942,280,deleting item/view-165,200,OK,Purchase 4-1,text,true,,717,449,1,1,https://api.demoblaze.com/view,278,0,0
1650011319222,269,deleting item/imgs/iphone_6.jpg-168,200,OK,Purchase 4-1,bin,true,,201243,429,1,1,https://www.demoblaze.com/imgs/iphone_6.jpg,252,0,0
1650011319491,347,deleting item/imgs/Nexus_6.jpg-167,200,OK,Purchase 4-1,bin,true,,232097,428,1,1,https://www.demoblaze.com/imgs/Nexus_6.jpg,331,0,0
1650011319838,79,deleting item/imgs/galaxy_s6.jpg-169,200,OK,Purchase 4-1,bin,true,,107733,430,1,1,https://www.demoblaze.com/imgs/galaxy_s6.jpg,54,0,0
1650011319917,256,purchasing/deletecart-170,200,OK,Purchase 4-1,text,true,,449,482,1,1,https://api.demoblaze.com/deletecart,256,0,0
1650011320174,382,purchasing/deletecart-171,200,OK,Purchase 4-1,text,true,,316,466,1,1,https://api.demoblaze.com/deletecart,382,0,0
1650011320557,196,ok/index.html-172,200,OK,Purchase 4-1,text,true,,4953,510,1,1,https://www.demoblaze.com/index.html,196,0,0
1650011320753,537,ok/node_modules/jquery/dist/jquery.min.js-174,200,OK,Purchase 4-1,text,true,,86957,404,1,1,https://www.demoblaze.com/node_modules/jquery/dist/jquery.min.js,410,0,0
1650011321291,415,ok/node_modules/video.js/dist/video.min.js-175,200,OK,Purchase 4-1,text,true,,160073,405,1,1,https://www.demoblaze.com/node_modules/video.js/dist/video.min.js,385,0,0
